Lfd.,Studiengang,Variante,Semester,Titel,PfWp,Anzeigen,Studienbereich,Bemerkung
1,BSc Data Science,Winter,1,Objektorientierte Programmierung,PF,1,,
2,BSc Data Science,Winter,1,Technische Informatik,PF,1,,
3,BSc Data Science,Winter,1,Grundlagen der Linearen Algebra,PF,1,,
4,BSc Data Science,Sommer,2,Algorithmen und Datenstrukturen,PF,1,,
5,BSc Data Science,Winter,2,Systemsoftware und Rechnerkommunikation,PF,1,,
6,BSc Data Science,Winter,2,Programmierpraktikum,PF,B,,
7,BSc Data Science,Winter,2,Grundlagen der Analysis,PF,1,,
8,BSc Data Science,Winter,3,Effiziente Algorithmen,PF,1,,
9,BSc Data Science,Winter,3,Elementare Stochastik,PF,1,,
10,BSc Data Science,Winter,3,Grundlagen der Höheren Mathematik,PF,1,,
11,BSc Data Science,Winter,4,Datenbanksysteme,PF,1,,
12,BSc Data Science,Winter,4,Aufbau- oder Vertiefungsmodul 9 LP,WP,3,,
13,BSc Data Science,Winter,4,Aufbau- oder Vertiefungsmodul 6 LP,WP,3,,
14,BSc Data Science,Winter,4,Stochastikpraktikum,PF,B,,
15,BSc Data Science,Winter,4,Ausgewählte Themen der Informatik / Data Science (SE),PF,3,,
16,BSc Data Science,Winter,5,Softwaretechnik,PF,1,,
17,BSc Data Science,Winter,5,Machine Learning (Maschinelles Lernen),PF,1,,
18,BSc Data Science,Winter,5,Fortgeschrittenenpraktikum für große Daten,PF,E,,
19,BSc Data Science,Winter,5,Lineare Optimierung,PF,1,,
20,BSc Data Science,Winter,6,Aufbau- oder Vertiefungsmodul 6 LP,WP,3,,
21,BSc Data Science,Winter,6,Aufbau- oder Vertiefungsmodul 6 LP,WP,3,,
22,BSc Data Science,Winter,6,Software-Praktikum,PF,1,,
23,BSc Informatik,Winter,1,Objektorientierte Programmierung,PF,1,,
24,BSc Informatik,Winter,1,Technische Informatik,PF,1,,
25,BSc Informatik,Winter,1,Grundlagen der Linearen Algebra,PF,1,,
26,BSc Informatik,Sommer,2,Algorithmen und Datenstrukturen,PF,1,,
27,BSc Informatik,Winter,2,Deklarative Programmierung,PF,1,,
28,BSc Informatik,Winter,2,Programmierpraktikum,PF,1,,
29,BSc Informatik,Winter,2,Grundlagen der Analysis,PF,1,,
30,BSc Informatik,Winter,3,Theoretische Informatik,PF,1,,
31,BSc Informatik,Winter,3,Logik,PF,1,,
32,BSc Informatik,Winter,3,Softwaretechnik,PF,1,,
33,BSc Informatik,Winter,3,Grundlagen der Statistik,PF,1,,
34,BSc Informatik,Winter,4,Datenbanksysteme,PF,1,,
35,BSc Informatik,Winter,4,Systemsoftware und Rechnerkommunikation,PF,1,,
36,BSc Informatik,Winter,4,Software-Praktikum,PF,1,,
37,BSc Informatik,Winter,4,Ausgewählte Themen der Informatik (SE),PF,3,,
38,BSc Informatik,Winter,4,Praktikum zur Statistik,PF,B,,
39,BSc Informatik,Winter,5,Aufbau- oder Vertiefungsmodul Informatik 9 LP,WP,3,,
40,BSc Informatik,Winter,5,Aufbau- oder Vertiefungsmodul Informatik 9 LP,WP,3,,
41,BSc Informatik,Winter,5,Fortgeschrittenenpraktikum,PF,E,,
42,BSc Informatik,Winter,5,Nebenfachmodul 6 LP,WP,5,,
43,BSc Informatik,Winter,6,Aufbau- oder Vertiefungsmodul Informatik 6 LP,WP,3,,
44,BSc Informatik,Winter,6,Berufsvorbereitung,PF,1,,
45,BSc Informatik,Winter,6,Nebenfachmodul 6 LP,WP,5,,
46,BSc Informatik,"Winter, NF Mathematik",1,Objektorientierte Programmierung,PF,1,,
47,BSc Informatik,"Winter, NF Mathematik",1,Technische Informatik,PF,1,,
48,BSc Informatik,"Winter, NF Mathematik",1,Grundlagen der Linearen Algebra,PF,1,,
49,BSc Informatik,"Sommer, NF Mathematik",2,Algorithmen und Datenstrukturen,PF,1,,
50,BSc Informatik,"Winter, NF Mathematik",2,Deklarative Programmierung,PF,1,,
51,BSc Informatik,"Winter, NF Mathematik",2,Programmierpraktikum,PF,1,,
52,BSc Informatik,"Winter, NF Mathematik",2,Grundlagen der Analysis,PF,1,,
53,BSc Informatik,"Winter, NF Mathematik",3,Theoretische Informatik,PF,1,,
54,BSc Informatik,"Winter, NF Mathematik",3,Logik,PF,1,,
55,BSc Informatik,"Winter, NF Mathematik",3,Softwaretechnik,PF,1,,
56,BSc Informatik,"Winter, NF Mathematik",3,Grundlagen der Statistik,PF,1,,
57,BSc Informatik,"Winter, NF Mathematik",4,Datenbanksysteme,PF,1,,
58,BSc Informatik,"Winter, NF Mathematik",4,Systemsoftware und Rechnerkommunikation,PF,1,,
59,BSc Informatik,"Winter, NF Mathematik",4,Software-Praktikum,PF,1,,
60,BSc Informatik,"Winter, NF Mathematik",4,Ausgewählte Themen der Informatik (SE),WP,3,,
61,BSc Informatik,"Winter, NF Mathematik",4,Praktikum zur Statistik,PF,B,,
62,BSc Informatik,"Winter, NF Mathematik",5,Aufbau- oder Vertiefungsmodul Informatik 9 LP,WP,3,,
63,BSc Informatik,"Winter, NF Mathematik",5,Aufbau- oder Vertiefungsmodul Informatik 9 LP,WP,3,,
64,BSc Informatik,"Winter, NF Mathematik",5,Aufbaumodul Mathematik 9 LP,PF,5,,
65,BSc Informatik,"Winter, NF Mathematik",5,Ausgewählte Themen der Mathematik A (PS),WP,5,,
66,BSc Informatik,"Winter, NF Mathematik",6,Fortgeschrittenenpraktikum,PF,E,,
67,BSc Informatik,"Winter, NF Mathematik",6,Aufbau- oder Vertiefungsmodul Informatik 6 LP,WP,3,,
68,BSc Informatik,"Winter, NF Mathematik",6,Berufsvorbereitung,PF,1,,
69,BSc Informatik,Sommer,1,Deklarative Programmierung,PF,1,,
70,BSc Informatik,Sommer,1,Grundlagen der Analysis,PF,1,,
